Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_1,Chrome 67.0.3396.99,,2018-07-17 12:35:30,2018-07-17 12:36:11,41.435s,FAILED
,,,,,,
Test Cases/Drag_And_Drop/TC_1,Chrome 67.0.3396.99,,2018-07-17 12:35:30,2018-07-17 12:36:10,40.064s,FAILED
openBrowser,Chrome 67.0.3396.99,,2018-07-17 12:35:31,2018-07-17 12:35:35,4.092s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-17 12:35:35,2018-07-17 12:35:39,3.306s,PASSED
click,Chrome 67.0.3396.99,,2018-07-17 12:35:39,2018-07-17 12:35:39,0.360s,PASSED
click,Chrome 67.0.3396.99,,2018-07-17 12:35:39,2018-07-17 12:35:39,0.127s,PASSED
click,Chrome 67.0.3396.99,,2018-07-17 12:35:39,2018-07-17 12:36:10,31.336s,FAILED
